user_id,age,sexe,nombre_commandes,categories_preferees,commande_id,date_commande,nombre_articles,montant_total,adresse_id,ville,province,pays
70,2006,F,5,,,,,,70.0,Brittanymouth,Delaware,Equatorial Guinea
71,1943,F,12,,,,,,71.0,Christophermouth,Washington,Suriname
72,1989,F,3,,,,,,72.0,Caldwellside,New Hampshire,Libyan Arab Jamahiriya
73,1982,F,16,,,,,,73.0,New Raymond,New Mexico,India
74,1999,M,17,,,,,,74.0,Melissaborough,Vermont,Ghana
75,1990,F,4,,,,,,75.0,Janemouth,Oklahoma,Hong Kong
76,2006,F,16,,,,,,76.0,Lake Ianshire,New York,Aruba
77,1983,F,5,,,,,,77.0,Ryanchester,Texas,Bahrain
78,2005,M,7,,,,,,78.0,North Michele,Nevada,Venezuela
79,1951,M,15,,,,,,79.0,Troyfurt,Arkansas,Kuwait
80,1926,M,10,,,,,,80.0,Lake Jennamouth,New Mexico,Belarus
81,1976,F,6,,,,,,81.0,Lake Brandonhaven,South Dakota,Iraq
82,2002,M,16,,,,,,82.0,Angelaview,Oregon,Russian Federation
83,1956,M,3,,,,,,83.0,Garciafort,Texas,Lao People's Democratic Republic
84,1961,F,12,,,,,,84.0,Rachelmouth,Maine,Sweden
85,1934,M,2,,,,,,85.0,Biancaborough,Pennsylvania,Burkina Faso
86,1996,M,4,,,,,,86.0,East Corey,New Hampshire,France
87,2000,M,5,,,,,,87.0,New Michael,Oregon,Ecuador
88,1998,M,10,,,,,,88.0,North Kristin,New York,American Samoa
89,1961,M,14,,,,,,89.0,Ramirezborough,Montana,Saint Pierre and Miquelon
90,1926,F,15,,,,,,90.0,Sparksmouth,Washington,San Marino
91,1945,M,14,,,,,,91.0,Morsechester,Pennsylvania,Japan
92,1945,M,11,,,,,,92.0,South Eddieton,Idaho,China
93,1996,M,17,,,,,,93.0,Wilkinsonchester,Minnesota,Germany
94,1975,M,14,,,,,,94.0,Brandonborough,West Virginia,Chile
95,1973,F,9,,,,,,95.0,Williamsview,Arizona,Niger
96,1986,M,4,,,,,,96.0,East Troyshire,Michigan,Belgium
97,1948,F,10,,,,,,97.0,Port Tylerville,Wisconsin,Ukraine
98,1955,M,13,,,,,,98.0,Lake Julieborough,Montana,Ethiopia
99,2000,F,10,,,,,,99.0,Kevinland,Iowa,Antigua and Barbuda
100,1987,M,9,,,,,,100.0,Nelsonchester,South Carolina,Togo
101,1976,M,9,,,,,,101.0,Martinezberg,North Dakota,Bolivia
102,1979,M,5,,,,,,102.0,Brownfurt,Rhode Island,Slovakia (Slovak Republic)
103,1973,F,11,,,,,,103.0,Stevensfurt,Virginia,Guam
104,1969,M,3,,,,,,104.0,Johnsontown,Arizona,Somalia
105,2006,M,3,,,,,,105.0,Smithport,Nebraska,United Kingdom
106,1997,F,7,,,,,,106.0,Jonesborough,New Hampshire,Slovenia
107,1956,M,13,,,,,,107.0,West Lisa,Alaska,Jersey
108,2002,M,16,,,,,,108.0,West Katherinehaven,Utah,Guinea
109,1968,F,12,,,,,,109.0,Evelynhaven,Michigan,Paraguay
110,1936,M,3,,,,,,110.0,New Tanya,Washington,Chile
111,2001,F,14,,,,,,111.0,North Lorifurt,New Hampshire,Colombia
112,1990,F,8,,,,,,112.0,North Carol,Michigan,Oman
113,1972,M,6,,,,,,113.0,Lake Dawn,Louisiana,Martinique
114,2000,F,11,,,,,,114.0,Taylortown,Oregon,San Marino
115,1973,F,4,,,,,,115.0,Madisonmouth,Georgia,Portugal
116,1955,M,5,,,,,,116.0,North Janiceborough,Connecticut,Saint Kitts and Nevis
117,2000,F,13,,,,,,,,,
118,1982,M,14,,,,,,,,,
119,1933,M,3,,,,,,,,,
120,1976,M,13,,,,,,,,,
121,1980,F,11,,,,,,,,,
122,1996,M,17,,,,,,,,,
123,1942,F,17,,,,,,,,,
124,1983,F,15,,,,,,,,,
125,1998,M,15,,,,,,,,,
